iter	Passed	Remaining
0	0	122
1	1	130
2	2	170
3	3	173
4	4	176
5	5	178
6	6	178
7	7	176
8	8	175
9	9	172
10	10	172
11	10	171
12	11	169
13	12	170
14	13	168
15	14	167
16	15	168
17	16	168
18	17	166
19	18	165
20	19	163
21	20	162
22	20	161
23	21	159
24	22	157
25	23	155
26	23	153
27	24	150
28	25	149
29	26	147
30	26	146
31	27	144
32	28	143
33	28	141
34	29	140
35	30	140
36	31	139
37	32	137
38	32	135
39	33	133
40	34	132
41	34	130
42	35	129
43	36	128
44	36	126
45	37	124
46	37	123
47	38	121
48	39	120
49	39	118
50	40	117
51	40	116
52	41	115
53	42	113
54	42	112
55	43	111
56	44	110
57	44	109
58	45	108
59	46	107
60	46	106
61	47	105
62	47	103
63	48	102
64	48	101
65	49	100
66	49	99
67	50	97
68	50	96
69	51	95
70	51	94
71	52	93
72	52	91
73	53	90
74	53	89
75	54	88
76	54	87
77	55	86
78	55	85
79	56	84
80	56	83
81	57	82
82	57	81
83	58	80
84	58	79
85	59	78
86	59	77
87	60	76
88	60	75
89	61	74
90	61	73
91	62	72
92	62	71
93	62	70
94	63	70
95	63	69
96	64	68
97	64	67
98	65	66
99	65	65
100	66	64
101	66	64
102	67	63
103	67	62
104	68	61
105	68	61
106	69	60
107	69	59
108	70	58
109	70	57
110	71	57
111	71	56
112	72	55
113	73	55
114	73	54
115	74	54
116	75	53
117	75	52
118	75	51
119	76	50
120	76	50
121	77	49
122	77	48
123	78	48
124	78	47
125	79	46
126	79	45
127	80	45
128	80	44
129	81	43
130	81	43
131	82	42
132	82	41
133	83	41
134	84	40
135	84	39
136	85	39
137	85	38
138	86	37
139	86	37
140	87	36
141	88	35
142	88	35
143	89	34
144	89	34
145	90	33
146	90	32
147	91	32
148	91	31
149	92	30
150	92	30
151	93	29
152	93	28
153	94	28
154	94	27
155	95	26
156	95	26
157	96	25
158	96	24
159	97	24
160	97	23
161	98	23
162	98	22
163	99	21
164	100	21
165	100	20
166	101	20
167	102	19
168	102	18
169	103	18
170	103	17
171	104	16
172	104	16
173	105	15
174	105	15
175	106	14
176	106	13
177	107	13
178	107	12
179	108	12
180	108	11
181	109	10
182	109	10
183	110	9
184	110	8
185	111	8
186	111	7
187	112	7
188	112	6
189	113	5
190	114	5
191	114	4
192	115	4
193	115	3
194	116	2
195	116	2
196	117	1
197	117	1
198	118	0
199	119	0
